城名,URL
鶴城,https://gosenzo.net/yamajiro/2021/08/21/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%b6%b4%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%b1%b1%e6%9c%ac%e5%ad%97%e9%b6%b4%e3%82%ac%e5%9f%8e%e3%80%91/
備後衆山砦,https://gosenzo.net/yamajiro/2021/08/22/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%82%99%e5%be%8c%e8%a1%86%e5%b1%b1%e7%a0%a6%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e6%97%a5%e6%92%ab%e5%ad%97%e5%ae%ae%e3%83%8e%e4%b8%8b%e3%80%91/
正法寺城,https://gosenzo.net/yamajiro/2021/08/22/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%ad%a3%e6%b3%95%e5%af%ba%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%b1%b1%e7%8e%8b%e7%94%ba%e3%80%91/
妙楽寺城,https://gosenzo.net/yamajiro/2021/08/22/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%a6%99%e6%a5%bd%e5%af%ba%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%a6%99%e6%a5%bd%e5%af%ba%e5%ad%97%e8%a6%8b%e6%89%8b%e5%b1%b1%e3%80%91/
此隅山城,https://gosenzo.net/yamajiro/2021/08/28/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%ad%a4%e9%9a%85%e5%b1%b1%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%87%ba%e7%9f%b3%e7%94%ba%e5%ae%ae%e5%86%85%e3%80%91/
有子山城,https://gosenzo.net/yamajiro/2021/08/28/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%9c%89%e5%ad%90%e5%b1%b1%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%87%ba%e7%9f%b3%e7%94%ba%e5%86%85%e7%94%ba%e3%80%91/
出石城,https://gosenzo.net/yamajiro/2021/09/04/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%87%ba%e7%9f%b3%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e5%87%ba%e7%9f%b3%e7%94%ba%e5%86%85%e7%94%ba%e3%80%91/
村岡陣屋,https://gosenzo.net/yamajiro/2021/09/04/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%9d%91%e5%b2%a1%e9%99%a3%e5%b1%8b%e3%80%90%e7%be%8e%e6%96%b9%e9%83%a1%e9%a6%99%e7%be%8e%e7%94%ba%e6%9d%91%e5%b2%a1%e3%80%91/
宵田城,https://gosenzo.net/yamajiro/2021/09/04/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%ae%b5%e7%94%b0%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e6%97%a5%e9%ab%98%e7%94%ba%e5%b2%a9%e4%b8%ad%e5%ad%97%e5%9f%8e%e5%b1%b1%e3%80%91/
轟城,https://gosenzo.net/yamajiro/2021/09/05/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%bd%9f%e5%9f%8e%e3%80%90%e8%b1%8a%e5%b2%a1%e5%b8%82%e7%ab%b9%e9%87%8e%e7%94%ba%e8%bd%9f%e5%ad%97%e5%9f%8e%e5%b1%b1%e3%80%91/
八木城・八木古城,https://gosenzo.net/yamajiro/2021/09/11/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%85%ab%e6%9c%a8%e5%9f%8e%e3%83%bb%e5%85%ab%e6%9c%a8%e5%8f%a4%e5%9f%8e%e3%80%90%e9%a4%8a%e7%88%b6%e5%b8%82%e5%85%ab%e9%b9%bf%e7%94%ba%e5%85%ab%e6%9c%a8/
朝倉城,https://gosenzo.net/yamajiro/2021/09/11/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e6%9c%9d%e5%80%89%e5%9f%8e%e3%80%90%e9%a4%8a%e7%88%b6%e5%b8%82%e5%85%ab%e9%b9%bf%e7%94%ba%e6%9c%9d%e5%80%89%e3%80%91/
置城城,https://gosenzo.net/yamajiro/2021/09/11/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e7%bd%ae%e5%9f%8e%e5%9f%8e%e3%80%90%e5%a7%ab%e8%b7%af%e5%b8%82%e5%a4%a2%e5%89%8d%e7%94%ba%e5%ae%ae%e7%bd%ae%e3%80%91/
赤穂城,https://gosenzo.net/yamajiro/2021/09/12/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%b5%a4%e7%a9%82%e5%9f%8e%e3%80%90%e8%b5%a4%e7%a9%82%e5%b8%82%e4%b8%8a%e4%bb%ae%e5%b1%8b%e3%80%91/
姫路城,https://gosenzo.net/yamajiro/2021/09/13/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%a7%ab%e8%b7%af%e5%9f%8e%e3%80%90%e5%a7%ab%e8%b7%af%e5%b8%82%e6%9c%ac%e7%94%ba%e3%80%91/
英賀城,https://gosenzo.net/yamajiro/2021/09/13/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e8%8b%b1%e8%b3%80%e5%9f%8e%e3%80%90%e5%a7%ab%e8%b7%af%e5%b8%82%e9%a3%be%e7%a3%a8%e5%8c%ba%e8%8b%b1%e8%b3%80%e5%ae%ae%e7%94%ba%e3%80%91/
御着城,https://gosenzo.net/yamajiro/2021/09/13/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%be%a1%e7%9d%80%e5%9f%8e%e3%80%90%e5%a7%ab%e8%b7%af%e5%b8%82%e5%be%a1%e5%9b%bd%e9%87%8e%e7%94%ba%e5%be%a1%e7%9d%80%e3%80%91/
三木城,https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e4%b8%89%e6%9c%a8%e5%9f%8e%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82%e4%b8%8a%e3%81%ae%e4%b8%b8%e7%94%ba%e3%80%91/
平井山ノ上付城跡(秀吉本陣跡),https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e5%b9%b3%e4%ba%95%e5%b1%b1%e3%83%8e%e4%b8%8a%e4%bb%98%e5%9f%8e%e8%b7%a1%e7%a7%80%e5%90%89%e6%9c%ac%e9%99%a3%e8%b7%a1%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82/
這田村法界寺山ノ上付城,https://gosenzo.net/yamajiro/2021/09/18/%e3%80%90%e5%85%b5%e5%ba%ab%e7%9c%8c%e3%80%91%e9%80%99%e7%94%b0%e6%9d%91%e6%b3%95%e7%95%8c%e5%af%ba%e5%b1%b1%e3%83%8e%e4%b8%8a%e4%bb%98%e5%9f%8e%e3%80%90%e4%b8%89%e6%9c%a8%e5%b8%82%e5%88%a5%e6%89%80/
